City ID,City Name,Country Code,Latitude,Longitude,Temperature(°F),Humidity(%),Cloudiness(%),Wind Speed (mph)
2031405,Erdenet,MN,49.03,104.04,2.47,83,64,2.93
1337610,Thinadhoo,MV,0.53,72.93,82.66,100,8,13.33
934479,Grand Gaube,MU,-20.01,57.66,77.0,94,75,4.27
3445304,Vera Cruz,BR,-22.22,-49.82,84.42,56,12,5.84
3603157,Puerto Lempira,HN,15.27,-83.77,71.68,100,92,7.96
3827693,La Macarena,CO,2.18,-73.79,94.54,27,0,3.71
5554428,Ketchikan,US,55.34,-131.65,35.6,80,90,9.17
5367788,Lompoc,US,34.64,-120.46,55.42,87,40,9.17
2444995,Filingue,NE,14.35,3.32,81.22,31,0,9.86
1631393,Kemang,ID,-3.35,104.34,71.1,99,92,4.16
777682,Skjervoy,NO,70.03,20.97,18.63,79,75,8.19
3893629,Coquimbo,CL,-29.95,-71.34,69.8,68,20,14.99
3869716,Tocopilla,CL,-22.09,-70.2,72.31,73,0,7.07
5813747,Toppenish,US,46.38,-120.31,30.2,50,40,3.36
3573374,The Valley,AI,18.22,-63.06,81.54,51,40,18.34
3833367,Ushuaia,AR,-54.81,-68.31,56.61,62,20,21.92
2181625,Te Anau,NZ,-45.41,167.72,52.78,81,0,3.6
504341,Pskov,RU,57.82,28.33,-4.01,83,44,2.24
3372760,Praia da Vitoria,PT,38.73,-27.07,60.8,87,20,10.2
2012956,Yerbogachen,RU,61.28,108.01,-9.91,67,56,2.82
1491519,Goryachegorsk,RU,55.41,88.92,11.56,71,20,10.98
2961459,Skibbereen,IE,51.55,-9.27,41.0,86,75,11.41
3573061,Saint George,BM,32.38,-64.68,69.8,60,75,5.82
962367,Richards Bay,ZA,-28.77,32.06,71.64,87,88,6.4
3569907,Saint-Pierre,MQ,14.74,-61.18,80.6,61,40,19.46
1486321,Yar-Sale,RU,66.83,70.83,-19.72,87,36,12.77
4409896,Springfield,US,37.22,-93.29,41.0,93,90,4.7
2685750,Ostersund,SE,63.18,14.64,19.4,92,90,3.36
2160413,Leeton,AU,-34.55,146.4,73.75,42,100,9.53
3604518,Naco,HN,15.38,-88.18,85.03,62,40,9.17
5886182,Antigonish,CA,45.62,-61.99,17.6,72,90,13.87
6255012,Flinders,AU,-34.58,150.85,60.8,100,0,5.73
1865309,Katsuura,JP,33.93,134.5,31.14,94,0,6.51
1256047,Sirsi,IN,14.62,74.84,68.04,57,0,6.4
5711847,Astoria,US,46.19,-123.83,35.6,64,1,14.99
2409215,Mattru,SL,7.62,-11.83,82.75,50,8,7.74
5855927,Hilo,US,19.71,-155.08,63.52,82,75,9.17
7671223,Kloulklubed,PW,7.04,134.26,77.0,88,90,8.05
3393922,Nisia Floresta,BR,-6.09,-35.21,78.34,89,68,6.62
3877918,Ovalle,CL,-30.6,-71.2,71.68,82,20,3.83
2094027,Kieta,PG,-6.22,155.63,80.23,97,0,1.92
